"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
16,"1","2023-12-27T16:00:54.060209Z",16,"/data/upload/2/6de87d2e-invalid_die_WIN_20231227_13_08_54_Procropped_600px.png","[{""x"":12.178483543771428,""y"":35.27616910922231,""width"":19.467555473895587,""height"":16.11323629786565,""rotation"":38.4988278381872,""rectanglelabels"":[""red_die_invalid""],""original_width"":600,""original_height"":600},{""x"":30.572587452401024,""y"":64.78433964127296,""width"":14.565678038994271,""height"":19.168196445175507,""rotation"":23.654213350908947,""rectanglelabels"":[""red_die_pip5""],""original_width"":600,""original_height"":600},{""x"":33.09981039461752,""y"":31.51430163001588,""width"":15.321456785886339,""height"":16.62034436040747,""rotation"":28.169901032148346,""rectanglelabels"":[""red_die_pip5""],""original_width"":600,""original_height"":600}]",120.007,"2023-12-27T16:00:54.060209Z"
17,"1","2023-12-27T16:02:01.651158Z",17,"/data/upload/2/1f6dabe8-invalid_die_WIN_20231227_13_09_58_Procropped_600px.png","[{""x"":9.577075358518492,""y"":0.3104923976472994,""width"":21.462526063878297,""height"":17.42423758677943,""rotation"":359.1710889719439,""rectanglelabels"":[""red_die_pip4""],""original_width"":600,""original_height"":600},{""x"":24.373754849315006,""y"":57.2033312203241,""width"":15.6418757442546,""height"":17.131475092595082,""rotation"":9.84582236785019,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600}]",65.182,"2023-12-27T16:02:01.651158Z"
18,"1","2023-12-27T16:10:21.237818Z",18,"/data/upload/2/cf003fb2-invalid_die_WIN_20231227_13_17_47_Procropped_600px.png","[{""x"":33.966030278905365,""y"":0,""width"":17.097799508328666,""height"":9.966405375139976,""rotation"":0,""rectanglelabels"":[""red_die_invalid""],""original_width"":600,""original_height"":600},{""x"":4.210491008718903,""y"":24.589118977854497,""width"":18.47680368970327,""height"":15.677491601343807,""rotation"":356.2482709294757,""rectanglelabels"":[""red_die_pip6""],""original_width"":600,""original_height"":600},{""x"":5.534356663543227,""y"":70.17110718649425,""width"":17.849232355861545,""height"":17.070338092093916,""rotation"":350.8908664797236,""rectanglelabels"":[""red_die_pip5""],""original_width"":600,""original_height"":600},{""x"":47.316784778690284,""y"":65.9447677567543,""width"":14.731535495713926,""height"":17.31275547478607,""rotation"":25.380532791423434,""rectanglelabels"":[""red_die_pip5""],""original_width"":600,""original_height"":600},{""x"":75.58790593505032,""y"":42.32922732362822,""width"":17.917133258678614,""height"":16.685330347144472,""rotation"":0,""rectanglelabels"":[""red_die_pip5""],""original_width"":600,""original_height"":600},{""x"":43.26463705804457,""y"":57.33690658061398,""width"":14.916710732151225,""height"":15.746772733967926,""rotation"":322.51214410305374,""rectanglelabels"":[""red_die_pip5""],""original_width"":600,""original_height"":600},{""x"":16.642961736119158,""y"":65.78542876428418,""width"":17.234706440444747,""height"":14.997929903871757,""rotation"":325.4914770123341,""rectanglelabels"":[""red_die_pip4""],""original_width"":600,""original_height"":600},{""x"":41.60722540120565,""y"":33.73914432917833,""width"":15.229563269876817,""height"":16.01343784994404,""rotation"":346.8878018848467,""rectanglelabels"":[""red_die_pip3""],""original_width"":600,""original_height"":600},{""x"":27.78742034434804,""y"":25.479011121437335,""width"":15.724832945451825,""height"":16.15088964335442,""rotation"":20.854458039576286,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":29.931919008623144,""y"":43.26735305579117,""width"":15.662427303311954,""height"":15.579781097377731,""rotation"":5.983758998710471,""rectanglelabels"":[""red_die_pip1""],""original_width"":600,""original_height"":600},{""x"":64.61366181410973,""y"":69.31690929451277,""width"":15.229563269876811,""height"":18.253079507278823,""rotation"":0,""rectanglelabels"":[""red_die_pip4""],""original_width"":600,""original_height"":600},{""x"":80.47738482203908,""y"":64.86606916357653,""width"":16.504486891586883,""height"":17.89096774732354,""rotation"":350.8926656877486,""rectanglelabels"":[""red_die_pip1""],""original_width"":600,""original_height"":600}]",237.776,"2023-12-27T16:10:21.237818Z"
19,"1","2023-12-28T10:24:33.495981Z",19,"/data/upload/2/6173cb48-invalid_die_WIN_20231227_13_21_09_Procropped_600px.png","[{""x"":29.74296205630356,""y"":-1.3877787807814457e-16,""width"":20.563035495716036,""height"":15.911872705018357,""rotation"":0,""rectanglelabels"":[""red_die_pip3""],""original_width"":600,""original_height"":600},{""x"":72.4984700122399,""y"":0,""width"":21.748776009791925,""height"":16.768665850673194,""rotation"":0,""rectanglelabels"":[""red_die_pip4""],""original_width"":600,""original_height"":600},{""x"":45.254020117654406,""y"":24.09425665582643,""width"":16.99361684287378,""height"":15.911872705018398,""rotation"":321.70928414656805,""rectanglelabels"":[""red_die_pip4""],""original_width"":600,""original_height"":600},{""x"":6.3191402811926425,""y"":33.13081589502123,""width"":17.12252341248428,""height"":17.779823635006586,""rotation"":20.81861980088877,""rectanglelabels"":[""red_die_pip3""],""original_width"":600,""original_height"":600},{""x"":39.44309383539291,""y"":34.392728219258025,""width"":15.247689427101202,""height"":16.9606030637678,""rotation"":18.36177417622639,""rectanglelabels"":[""red_die_pip3""],""original_width"":600,""original_height"":600},{""x"":79.66887967944004,""y"":66.24275576628716,""width"":19.357300057457007,""height"":15.513267375994403,""rotation"":44.225779835071194,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":23.188949549589967,""y"":52.96114521723205,""width"":15.17747858017135,""height"":16.756562759234004,""rotation"":340.3128838018744,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":33.30527537112523,""y"":66.36107783016068,""width"":13.858961638742636,""height"":19.190210112017443,""rotation"":17.338109142359997,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":5.052707857136514,""y"":61.97292241561253,""width"":19.3321098572672,""height"":16.641003366211933,""rotation"":339.91396703879377,""rectanglelabels"":[""red_die_pip1""],""original_width"":600,""original_height"":600},{""x"":42.92422868803188,""y"":74.18832325407494,""width"":15.605303609960345,""height"":18.130727123957584,""rotation"":336.7474078251403,""rectanglelabels"":[""red_die_pip6""],""original_width"":600,""original_height"":600},{""x"":11.959874005155564,""y"":74.70456956890419,""width"":17.013463892288843,""height"":17.949044267712043,""rotation"":351.69783876511667,""rectanglelabels"":[""red_die_pip6""],""original_width"":600,""original_height"":600}]",236.222,"2023-12-28T10:24:33.495981Z"
20,"1","2023-12-28T10:59:25.054081Z",20,"/data/upload/2/999cfd33-invalid_die_WIN_20231227_13_23_00_Procropped_600px.png","[{""x"":40.36021166924929,""y"":0,""width"":20.49628720377847,""height"":17.155021287252687,""rotation"":0,""rectanglelabels"":[""red_die_invalid""],""original_width"":600,""original_height"":600},{""x"":5.133984472827446,""y"":62.6095667417981,""width"":18.782870022539445,""height"":17.530678687703404,""rotation"":0,""rectanglelabels"":[""red_die_invalid""],""original_width"":600,""original_height"":600},{""x"":10.862179302930944,""y"":47.95620152990649,""width"":17.280240420736273,""height"":15.050256841482849,""rotation"":320.64427162922476,""rectanglelabels"":[""red_die_pip6""],""original_width"":600,""original_height"":600},{""x"":67.29261147204856,""y"":59.561721078215,""width"":16.86543382865961,""height"":15.844419733760986,""rotation"":33.26826572648173,""rectanglelabels"":[""red_die_pip6""],""original_width"":600,""original_height"":600},{""x"":28.237895751297643,""y"":81.707760637467,""width"":14.688903103885895,""height"":16.778038604402525,""rotation"":340.1447856306793,""rectanglelabels"":[""red_die_pip6""],""original_width"":600,""original_height"":600},{""x"":49.46155772602054,""y"":80.01502629601796,""width"":14.52541948409713,""height"":18.15677435512155,""rotation"":0,""rectanglelabels"":[""red_die_pip6""],""original_width"":600,""original_height"":600},{""x"":38.881975450379805,""y"":70.49670276567934,""width"":15.79023532103257,""height"":17.288100341903974,""rotation"":336.42529379808775,""rectanglelabels"":[""red_die_pip1""],""original_width"":600,""original_height"":600},{""x"":82.19721525160068,""y"":50.48341370382815,""width"":17.81862521915281,""height"":16.25287252347052,""rotation"":2.416110285680247,""rectanglelabels"":[""red_die_pip1""],""original_width"":600,""original_height"":600},{""x"":8.24412795513087,""y"":87.19075359509051,""width"":17.965503201120256,""height"":15.522855913332412,""rotation"":322.3127587733831,""rectanglelabels"":[""red_die_pip1""],""original_width"":600,""original_height"":600},{""x"":44.514480441459604,""y"":37.7183694374709,""width"":15.276734284998728,""height"":16.278487352867568,""rotation"":33.16322463213618,""rectanglelabels"":[""red_die_pip3""],""original_width"":600,""original_height"":600},{""x"":72.12622088655148,""y"":80.39068369646877,""width"":16.528925619834574,""height"":18.156774355121517,""rotation"":0,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":77.7610818933132,""y"":65.31430002504382,""width"":17.65589782118707,""height"":16.654144753318313,""rotation"":0,""rectanglelabels"":[""red_die_pip5""],""original_width"":600,""original_height"":600}]",1546.886,"2023-12-28T10:59:25.054081Z"
21,"1","2023-12-28T11:15:18.173263Z",21,"/data/upload/2/dec4bf4f-invalid_die_WIN_20231227_13_25_02_Procropped_600px.png","[{""x"":23.103633320868234,""y"":44.654992640773614,""width"":18.975893662898386,""height"":15.782664941785269,""rotation"":351.39861514128626,""rectanglelabels"":[""red_die_invalid""],""original_width"":600,""original_height"":600},{""x"":26.973511285586376,""y"":75.97609788245579,""width"":15.26520051746442,""height"":17.93830364980907,""rotation"":7.495857639729138,""rectanglelabels"":[""red_die_pip4""],""original_width"":600,""original_height"":600},{""x"":25.29921484555499,""y"":66.08422260609265,""width"":16.450467237864192,""height"":15.73773873559953,""rotation"":340.1828474803823,""rectanglelabels"":[""red_die_pip5""],""original_width"":600,""original_height"":600},{""x"":58.203579904941904,""y"":48.7290365123787,""width"":15.006468305303992,""height"":17.433866847024746,""rotation"":336.2019631617375,""rectanglelabels"":[""red_die_pip5""],""original_width"":600,""original_height"":600},{""x"":82.24754392897633,""y"":66.54652539370777,""width"":17.750235607684456,""height"":18.042064237162684,""rotation"":1.105994245954662,""rectanglelabels"":[""red_die_pip5""],""original_width"":600,""original_height"":600},{""x"":75.00942982795492,""y"":53.383643745319965,""width"":16.209304877911805,""height"":18.209799780067566,""rotation"":321.2303246140059,""rectanglelabels"":[""red_die_pip3""],""original_width"":600,""original_height"":600},{""x"":7.632600258732213,""y"":67.52910737386809,""width"":18.499353169469607,""height"":17.20569210866742,""rotation"":0,""rectanglelabels"":[""red_die_pip3""],""original_width"":600,""original_height"":600},{""x"":41.79377303169523,""y"":82.121054412863,""width"":15.422452446399399,""height"":17.965106819091222,""rotation"":332.0328844938821,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":64.29661584234327,""y"":77.54360962339682,""width"":16.942688908964225,""height"":17.213491959778867,""rotation"":19.521730275919083,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":8.796895213454079,""y"":50.064683053040135,""width"":17.076326002587315,""height"":16.817593790426915,""rotation"":0,""rectanglelabels"":[""red_die_pip1""],""original_width"":600,""original_height"":600},{""x"":80.21763943821168,""y"":79.0452167205725,""width"":18.753602866866036,""height"":13.814005283020583,""rotation"":27.613101500187554,""rectanglelabels"":[""red_die_pip1""],""original_width"":600,""original_height"":600},{""x"":68.79182325357675,""y"":59.63361623441033,""width"":17.363880124174035,""height"":15.413803638640475,""rotation"":41.209918371808214,""rectanglelabels"":[""red_die_pip6""],""original_width"":600,""original_height"":600}]",920.426,"2023-12-28T11:15:18.173263Z"
22,"1","2023-12-28T11:32:44.360230Z",22,"/data/upload/2/c3b1e44a-WIN_20231226_19_55_18_Pro_scaled_600px.png","[{""x"":34.82193279162724,""y"":47.025999773849435,""width"":14.100905562742561,""height"":14.254148185960805,""rotation"":5.906141113769934,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":39.25440880836699,""y"":81.03980995410335,""width"":16.429495472186243,""height"":16.283857259191905,""rotation"":305.0153390611411,""rectanglelabels"":[""red_die_pip3""],""original_width"":600,""original_height"":600}]",281.719,"2023-12-28T11:32:44.360230Z"
23,"1","2023-12-28T11:33:42.338266Z",23,"/data/upload/2/a05e65af-WIN_20231226_19_55_31_Pro_scaled_600px.png","[{""x"":36.052337309844084,""y"":42.15768827732395,""width"":13.971539456662363,""height"":14.74773609314361,""rotation"":8.202354244626008,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":84.47960915516424,""y"":75.8093458203885,""width"":17.996026603581193,""height"":14.997785238407154,""rotation"":48.310941514610306,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":36.918748758469825,""y"":65.61631114370712,""width"":13.842173350582149,""height"":15.912031047865458,""rotation"":3.0802101366442116,""rectanglelabels"":[""red_die_pip1""],""original_width"":600,""original_height"":600}]",53.654,"2023-12-28T11:33:42.338266Z"
24,"1","2023-12-28T11:34:33.420372Z",24,"/data/upload/2/68e6be4f-WIN_20231226_19_55_35_Pro_scaled_600px.png","[{""x"":36.262730707239655,""y"":41.74981765559732,""width"":14.35963777490297,""height"":15.523932729624857,""rotation"":5.767888897911746,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":79.1720569210867,""y"":81.88874514877102,""width"":17.59379042690814,""height"":17.335058214747644,""rotation"":0,""rectanglelabels"":[""red_die_pip2""],""original_width"":600,""original_height"":600},{""x"":36.999920248953494,""y"":65.31150064204377,""width"":13.71280724450194,""height"":16.429495472186293,""rotation"":3.52919029936686,""rectanglelabels"":[""red_die_pip1""],""original_width"":600,""original_height"":600},{""x"":54.98059508408796,""y"":70.37516170763261,""width"":14.100905562742568,""height"":16.558861578266505,""rotation"":0,""rectanglelabels"":[""red_die_pip3""],""original_width"":600,""original_height"":600}]",49.241,"2023-12-28T11:34:33.420372Z"
25,"1","2023-12-28T11:34:54.711517Z",25,"/data/upload/2/8964b6ff-WIN_20231226_19_55_43_Pro_scaled_600px.png","[{""x"":48.29616494163607,""y"":75.16247072713217,""width"":13.971539456662347,""height"":17.20569210866751,""rotation"":4.4556028333241215,""rectanglelabels"":[""red_die_pip1""],""original_width"":600,""original_height"":600}]",15.468,"2023-12-28T11:34:54.711517Z"
